Município,Municípios com serviço de esgotamento sanitário por rede coletora em funcionamento e com ETEs (Unidades),Número de ETEs (Unidades)
Centenário (TO),0,0
Chapada de Areia (TO),0,0
Chapada da Natividade (TO),0,0
Colinas do Tocantins (TO),1,1
Combinado (TO),0,0
Conceição do Tocantins (TO),0,0
Couto Magalhães (TO),0,0
Cristalândia (TO),0,0
Crixás do Tocantins (TO),0,0
Darcinópolis (TO),0,0
Dianópolis (TO),0,0
Divinópolis do Tocantins (TO),0,0
Dois Irmãos do Tocantins (TO),0,0
Dueré (TO),0,0
Esperantina (TO),0,0
Fátima (TO),0,0
Figueirópolis (TO),0,0
Filadélfia (TO),0,0
Formoso do Araguaia (TO),0,0
Tabocão (TO),0,0
Goianorte (TO),0,0
Goiatins (TO),0,0
Guaraí (TO),1,1
Gurupi (TO),1,1
Ipueiras (TO),0,0
Itacajá (TO),1,1
Itaguatins (TO),1,1
Itapiratins (TO),0,0
Itaporã do Tocantins (TO),0,0
Jaú do Tocantins (TO),0,0
Juarina (TO),0,0
Lagoa da Confusão (TO),0,0
Lagoa do Tocantins (TO),0,0
Lajeado (TO),0,0
Lavandeira (TO),0,0
Lizarda (TO),0,0
Luzinópolis (TO),0,0
Marianópolis do Tocantins (TO),0,0
Mateiros (TO),0,0
Maurilândia do Tocantins (TO),0,0
Miracema do Tocantins (TO),0,0
Miranorte (TO),0,0
Monte do Carmo (TO),0,0
Monte Santo do Tocantins (TO),0,0
Palmeiras do Tocantins (TO),0,0
Muricilândia (TO),0,0
Natividade (TO),0,0
Nazaré (TO),0,0
Nova Olinda (TO),0,0
Nova Rosalândia (TO),0,0
Novo Acordo (TO),0,0
Novo Alegre (TO),0,0
Novo Jardim (TO),0,0
Oliveira de Fátima (TO),0,0
Palmeirante (TO),0,0
Palmeirópolis (TO),0,0
Paraíso do Tocantins (TO),1,1
Paranã (TO),0,0
Pau D'Arco (TO),0,0
Pedro Afonso (TO),0,0
Peixe (TO),1,1
Pequizeiro (TO),0,0
Colméia (TO),0,0
Pindorama do Tocantins (TO),0,0
Piraquê (TO),0,0
Pium (TO),0,0
Ponte Alta do Bom Jesus (TO),0,0
Ponte Alta do Tocantins (TO),0,0
Porto Alegre do Tocantins (TO),0,0
Porto Nacional (TO),1,3
Praia Norte (TO),0,0
Presidente Kennedy (TO),0,0
Pugmil (TO),0,0
Recursolândia (TO),0,0
Riachinho (TO),0,0
Rio da Conceição (TO),0,0
Rio dos Bois (TO),0,0
Rio Sono (TO),0,0
Sampaio (TO),0,0
Sandolândia (TO),0,0
Santa Fé do Araguaia (TO),0,0
Santa Maria do Tocantins (TO),0,0
Santa Rita do Tocantins (TO),0,0
