Município,Municípios com serviço de esgotamento sanitário por rede coletora em funcionamento e com ETEs (Unidades),Número de ETEs (Unidades)
Barra do Rocha (BA),0,0
Barreiras (BA),1,1
Barro Alto (BA),0,0
Barrocas (BA),0,0
Barro Preto (BA),0,0
Belmonte (BA),1,2
Belo Campo (BA),0,0
Biritinga (BA),0,0
Boa Nova (BA),0,0
Boa Vista do Tupim (BA),1,1
Bom Jesus da Lapa (BA),1,1
Bom Jesus da Serra (BA),0,0
Boninal (BA),0,0
Bonito (BA),0,0
Boquira (BA),0,0
Botuporã (BA),0,0
Brejões (BA),0,0
Brejolândia (BA),0,0
Brotas de Macaúbas (BA),0,0
Brumado (BA),1,2
Buerarema (BA),0,0
Buritirama (BA),0,0
Caatiba (BA),0,0
Cabaceiras do Paraguaçu (BA),1,1
Cachoeira (BA),1,1
Caculé (BA),0,0
Caém (BA),0,0
Caetanos (BA),0,0
Caetité (BA),0,0
Cafarnaum (BA),0,0
Cairu (BA),0,0
Caldeirão Grande (BA),0,0
Camacan (BA),1,2
Camaçari (BA),1,12
Camamu (BA),1,1
Campo Alegre de Lourdes (BA),0,0
Campo Formoso (BA),1,2
Canápolis (BA),1,1
Canarana (BA),0,0
Canavieiras (BA),1,1
Candeal (BA),0,0
Candeias (BA),1,1
Candiba (BA),0,0
Cândido Sales (BA),0,0
Cansanção (BA),0,0
Canudos (BA),0,0
Capela do Alto Alegre (BA),0,0
Capim Grosso (BA),1,2
Caraíbas (BA),1,1
Caravelas (BA),1,1
Cardeal da Silva (BA),0,0
Carinhanha (BA),1,3
Casa Nova (BA),1,3
Castro Alves (BA),1,1
Catolândia (BA),0,0
Catu (BA),1,2
Caturama (BA),1,1
Central (BA),0,0
Chorrochó (BA),1,1
Cícero Dantas (BA),0,0
Cipó (BA),0,0
Coaraci (BA),0,0
Cocos (BA),0,0
Conceição da Feira (BA),1,1
Conceição do Almeida (BA),0,0
Conceição do Coité (BA),1,2
Conceição do Jacuípe (BA),1,1
Conde (BA),0,0
Condeúba (BA),0,0
Contendas do Sincorá (BA),0,0
Coração de Maria (BA),0,0
Cordeiros (BA),0,0
Coribe (BA),0,0
Coronel João Sá (BA),0,0
Correntina (BA),1,1
Cotegipe (BA),0,0
Cravolândia (BA),1,1
Crisópolis (BA),0,0
Cristópolis (BA),0,0
Cruz das Almas (BA),1,3
Curaçá (BA),1,1
Dário Meira (BA),0,0
Dias d'Ávila (BA),0,0
Dom Basílio (BA),0,0
Dom Macedo Costa (BA),0,0
Elísio Medrado (BA),0,0
Encruzilhada (BA),1,2
Entre Rios (BA),0,0
Esplanada (BA),0,0
Euclides da Cunha (BA),1,1
Eunápolis (BA),1,7
Fátima (BA),0,0
Feira da Mata (BA),0,0
Feira de Santana (BA),1,49
Filadélfia (BA),0,0
Firmino Alves (BA),0,0
Floresta Azul (BA),0,0
Formosa do Rio Preto (BA),0,0
Gandu (BA),0,0
Gavião (BA),0,0
Gentio do Ouro (BA),1,1
Glória (BA),1,1
Gongogi (BA),0,0
Governador Mangabeira (BA),0,0
Guajeru (BA),0,0
Guanambi (BA),1,1
Guaratinga (BA),0,0
Heliópolis (BA),0,0
Iaçu (BA),0,0
Ibiassucê (BA),0,0
Ibicaraí (BA),0,0
Ibicoara (BA),0,0
Ibicuí (BA),0,0
Ibipeba (BA),0,0
Ibipitanga (BA),0,0
Ibiquera (BA),0,0
Ibirapitanga (BA),0,0
Ibirapuã (BA),0,0
Ibirataia (BA),0,0
Ibitiara (BA),1,1
Ibititá (BA),0,0
Ibotirama (BA),1,1
Ichu (BA),0,0
Igaporã (BA),0,0
Igrapiúna (BA),0,0
Iguaí (BA),1,1
Ilhéus (BA),1,12
Inhambupe (BA),0,0
Ipecaetá (BA),0,0
Ipiaú (BA),1,1
Ipirá (BA),1,2
Ipupiara (BA),1,1
Irajuba (BA),0,0
Iramaia (BA),0,0
Iraquara (BA),0,0
Irará (BA),0,0
Irecê (BA),1,7
Itabela (BA),1,1
Itaberaba (BA),1,6
Itabuna (BA),1,11
Itacaré (BA),1,2
Itaeté (BA),0,0
Itagi (BA),0,0
Itagibá (BA),1,1
Itagimirim (BA),0,0
Itaguaçu da Bahia (BA),0,0
Itaju do Colônia (BA),1,1
Itajuípe (BA),0,0
Itamaraju (BA),1,1
Itamari (BA),0,0
Itambé (BA),1,1
Itanagra (BA),0,0
Itanhém (BA),0,0
Itaparica (BA),1,2
Itapé (BA),0,0
Itapebi (BA),0,0
Itapetinga (BA),1,16
Itapicuru (BA),1,2
Itapitanga (BA),0,0
Itaquara (BA),0,0
Itarantim (BA),0,0
Itatim (BA),0,0
Itiruçu (BA),0,0
Itiúba (BA),1,2
Itororó (BA),0,0
Ituaçu (BA),0,0
Ituberá (BA),1,1
Iuiu (BA),1,1
Jaborandi (BA),1,1
Jacaraci (BA),0,0
Jacobina (BA),1,6
Jaguaquara (BA),1,2
Jaguarari (BA),1,2
Jaguaripe (BA),0,0
Jandaíra (BA),0,0
Jequié (BA),1,1
Jeremoabo (BA),0,0
Jiquiriçá (BA),1,1
Jitaúna (BA),0,0
João Dourado (BA),0,0
Juazeiro (BA),1,3
Jucuruçu (BA),0,0
Jussara (BA),0,0
Jussari (BA),0,0
Jussiape (BA),0,0
Lafaiete Coutinho (BA),0,0
Lagoa Real (BA),0,0
Laje (BA),1,1
Lajedão (BA),0,0
Lajedinho (BA),0,0
Lajedo do Tabocal (BA),0,0
Lamarão (BA),0,0
Lapão (BA),0,0
Lauro de Freitas (BA),1,48
Lençóis (BA),1,1
Licínio de Almeida (BA),0,0
Livramento de Nossa Senhora (BA),0,0
Luís Eduardo Magalhães (BA),1,1
Macajuba (BA),0,0
Macarani (BA),0,0
Macaúbas (BA),0,0
Macururé (BA),0,0
Madre de Deus (BA),1,1
Maetinga (BA),0,0
Maiquinique (BA),0,0
Mairi (BA),0,0
Malhada (BA),0,0
Malhada de Pedras (BA),0,0
Manoel Vitorino (BA),0,0
Mansidão (BA),0,0
Maracás (BA),0,0
Maragogipe (BA),1,2
Maraú (BA),0,0
Marcionílio Souza (BA),0,0
Mascote (BA),0,0
Mata de São João (BA),1,4
Matina (BA),0,0
Medeiros Neto (BA),0,0
Miguel Calmon (BA),1,1
Milagres (BA),0,0
Mirangaba (BA),1,1
Mirante (BA),0,0
Monte Santo (BA),0,0
Morpará (BA),0,0
Morro do Chapéu (BA),1,1
Mortugaba (BA),0,0
Mucugê (BA),1,1
Mucuri (BA),1,1
Mulungu do Morro (BA),0,0
Mundo Novo (BA),0,0
Muniz Ferreira (BA),0,0
Muquém do São Francisco (BA),1,1
Muritiba (BA),1,8
Mutuípe (BA),1,1
Nazaré (BA),0,0
Nilo Peçanha (BA),0,0
Nordestina (BA),0,0
Nova Canaã (BA),0,0
Nova Fátima (BA),0,0
Nova Ibiá (BA),0,0
Nova Itarana (BA),0,0
Nova Redenção (BA),0,0
Nova Soure (BA),0,0
Nova Viçosa (BA),1,1
Novo Horizonte (BA),0,0
Novo Triunfo (BA),0,0
Olindina (BA),0,0
Oliveira dos Brejinhos (BA),0,0
Ouriçangas (BA),0,0
Ourolândia (BA),0,0
Palmas de Monte Alto (BA),0,0
Palmeiras (BA),1,1
Paramirim (BA),0,0
Paratinga (BA),0,0
Paripiranga (BA),0,0
Pau Brasil (BA),0,0
Paulo Afonso (BA),1,4
Pé de Serra (BA),0,0
Pedrão (BA),0,0
Pedro Alexandre (BA),0,0
Piatã (BA),0,0
Pilão Arcado (BA),0,0
Pindaí (BA),0,0
Pindobaçu (BA),0,0
Pintadas (BA),1,1
Piraí do Norte (BA),0,0
Piripá (BA),0,0
Piritiba (BA),0,0
Planaltino (BA),0,0
Planalto (BA),0,0
Poções (BA),1,1
Pojuca (BA),0,0
Ponto Novo (BA),0,0
Porto Seguro (BA),1,3
Potiraguá (BA),0,0
Prado (BA),0,0
Presidente Dutra (BA),0,0
Presidente Jânio Quadros (BA),0,0
Presidente Tancredo Neves (BA),0,0
Queimadas (BA),0,0
Quijingue (BA),0,0
Quixabeira (BA),0,0
Rafael Jambeiro (BA),0,0
Remanso (BA),0,0
Retirolândia (BA),0,0
Riachão das Neves (BA),0,0
Riachão do Jacuípe (BA),1,1
Riacho de Santana (BA),0,0
Ribeira do Amparo (BA),0,0
Ribeira do Pombal (BA),0,0
Ribeirão do Largo (BA),0,0
Rio de Contas (BA),1,1
Rio do Antônio (BA),0,0
Rio do Pires (BA),0,0
Rio Real (BA),0,0
Rodelas (BA),0,0
Ruy Barbosa (BA),1,1
Salinas da Margarida (BA),0,0
Salvador (BA),1,71
Santa Bárbara (BA),0,0
Santa Brígida (BA),1,1
Santa Cruz Cabrália (BA),1,1
Santa Cruz da Vitória (BA),0,0
Santa Inês (BA),1,1
Santaluz (BA),0,0
Santa Luzia (BA),0,0
Santa Maria da Vitória (BA),1,1
Santana (BA),0,0
Santanópolis (BA),0,0
Santa Rita de Cássia (BA),1,1
Santa Terezinha (BA),0,0
Santo Amaro (BA),1,1
Santo Antônio de Jesus (BA),1,8
Santo Estêvão (BA),0,0
São Desidério (BA),0,0
São Domingos (BA),0,0
São Félix (BA),0,0
São Félix do Coribe (BA),0,0
São Felipe (BA),0,0
São Francisco do Conde (BA),1,1
São Gabriel (BA),0,0
São Gonçalo dos Campos (BA),1,1
São José da Vitória (BA),0,0
São José do Jacuípe (BA),0,0
São Miguel das Matas (BA),0,0
São Sebastião do Passé (BA),1,2
Sapeaçu (BA),0,0
Sátiro Dias (BA),0,0
Saubara (BA),0,0
Saúde (BA),1,1
Seabra (BA),0,0
Sebastião Laranjeiras (BA),0,0
Senhor do Bonfim (BA),1,3
Serra do Ramalho (BA),0,0
Sento Sé (BA),0,0
Serra Dourada (BA),0,0
Serra Preta (BA),0,0
Serrinha (BA),1,9
Serrolândia (BA),0,0
Simões Filho (BA),1,4
Sítio do Mato (BA),0,0
Sítio do Quinto (BA),0,0
Sobradinho (BA),0,0
Souto Soares (BA),0,0
Tabocas do Brejo Velho (BA),0,0
Tanhaçu (BA),0,0
Tanque Novo (BA),0,0
Tanquinho (BA),0,0
Taperoá (BA),0,0
Tapiramutá (BA),0,0
Teixeira de Freitas (BA),1,3
Teodoro Sampaio (BA),0,0
Teofilândia (BA),0,0
Teolândia (BA),0,0
Terra Nova (BA),0,0
Tremedal (BA),0,0
Tucano (BA),1,1
Uauá (BA),0,0
Ubaíra (BA),1,1
Ubaitaba (BA),0,0
Ubatã (BA),0,0
Uibaí (BA),0,0
Umburanas (BA),0,0
Una (BA),1,3
Urandi (BA),0,0
Uruçuca (BA),1,2
Utinga (BA),0,0
Valença (BA),1,9
Valente (BA),0,0
Várzea da Roça (BA),0,0
Várzea do Poço (BA),0,0
Várzea Nova (BA),1,1
Varzedo (BA),0,0
Vera Cruz (BA),1,6
Vereda (BA),0,0
Vitória da Conquista (BA),1,21
Wagner (BA),0,0
Wanderley (BA),0,0
Wenceslau Guimarães (BA),0,0
Xique-Xique (BA),0,0
Abadia dos Dourados (MG),0,0
Abaeté (MG),0,0
Abre Campo (MG),0,0
Acaiaca (MG),0,0
Açucena (MG),0,0
Água Boa (MG),0,0
Água Comprida (MG),1,1
Aguanil (MG),0,0
Águas Formosas (MG),0,0
Águas Vermelhas (MG),1,2
Aimorés (MG),1,1
Aiuruoca (MG),0,0
Alagoa (MG),0,0
Albertina (MG),0,0
Além Paraíba (MG),0,0
Alfenas (MG),1,1
Alfredo Vasconcelos (MG),0,0
Almenara (MG),1,1
Alpercata (MG),0,0
Alpinópolis (MG),1,1
Alterosa (MG),1,1
Alto Caparaó (MG),0,0
Alto Rio Doce (MG),0,0
Alvarenga (MG),0,0
Alvinópolis (MG),0,0
Alvorada de Minas (MG),1,2
Amparo do Serra (MG),0,0
Andradas (MG),1,2
Cachoeira de Pajeú (MG),0,0
Andrelândia (MG),0,0
Angelândia (MG),0,0
Antônio Carlos (MG),0,0
Antônio Dias (MG),0,0
Antônio Prado de Minas (MG),0,0
Araçaí (MG),0,0
Aracitaba (MG),0,0
Araçuaí (MG),1,4
Araguari (MG),1,5
Arantina (MG),0,0
Araponga (MG),1,1
Araporã (MG),1,1
Arapuá (MG),0,0
Araújos (MG),1,2
Araxá (MG),1,8
Arceburgo (MG),0,0
Arcos (MG),1,1
Areado (MG),0,0
Argirita (MG),0,0
Aricanduva (MG),0,0
Arinos (MG),1,1
Astolfo Dutra (MG),0,0
Ataléia (MG),1,1
Augusto de Lima (MG),0,0
Baependi (MG),0,0
Baldim (MG),0,0
Bambuí (MG),0,0
Bandeira (MG),0,0
Bandeira do Sul (MG),0,0
Barão de Cocais (MG),0,0
Barão do Monte Alto (MG),0,0
Barbacena (MG),1,2
Barra Longa (MG),0,0
Barroso (MG),1,1
Bela Vista de Minas (MG),0,0
Belmiro Braga (MG),0,0
Belo Horizonte (MG),1,4
Belo Oriente (MG),0,0
Belo Vale (MG),1,1
Berilo (MG),1,1
Bertópolis (MG),0,0
Berizal (MG),0,0
Betim (MG),1,8
Bias Fortes (MG),0,0
Bicas (MG),0,0
Biquinhas (MG),0,0
Boa Esperança (MG),1,1
Bocaina de Minas (MG),0,0
Bocaiúva (MG),0,0
Bom Despacho (MG),1,3
Bom Jardim de Minas (MG),0,0
Bom Jesus da Penha (MG),0,0
Bom Jesus do Amparo (MG),1,1
Bom Jesus do Galho (MG),0,0
Bom Repouso (MG),1,1
Bom Sucesso (MG),1,1
Bonfim (MG),0,0
Bonfinópolis de Minas (MG),0,0
Bonito de Minas (MG),0,0
Borda da Mata (MG),1,2
Botelhos (MG),0,0
Botumirim (MG),1,1
Brasilândia de Minas (MG),1,1
Brasília de Minas (MG),1,1
Brás Pires (MG),0,0
Braúnas (MG),0,0
Brazópolis (MG),0,0
Brumadinho (MG),1,2
Bueno Brandão (MG),1,1
Buenópolis (MG),1,1
Bugre (MG),0,0
Buritis (MG),1,1
Buritizeiro (MG),0,0
Cabeceira Grande (MG),0,0
Cabo Verde (MG),0,0
Cachoeira da Prata (MG),1,1
Cachoeira de Minas (MG),0,0
Cachoeira Dourada (MG),1,1
Caetanópolis (MG),0,0
Caeté (MG),0,0
Caiana (MG),0,0
Cajuri (MG),0,0
Caldas (MG),0,0
Camacho (MG),0,0
Camanducaia (MG),0,0
Cambuí (MG),1,2
Cambuquira (MG),0,0
Campanário (MG),0,0
Campanha (MG),0,0
Campestre (MG),0,0
Campina Verde (MG),1,1
Campo Azul (MG),0,0
Campo Belo (MG),0,0
Campo do Meio (MG),1,1
Campo Florido (MG),0,0
Campos Altos (MG),0,0
Campos Gerais (MG),0,0
Canaã (MG),0,0
Canápolis (MG),0,0
Cana Verde (MG),1,2
Candeias (MG),1,2
Cantagalo (MG),0,0
Caparaó (MG),0,0
Capela Nova (MG),0,0
Capelinha (MG),0,0
Capetinga (MG),1,1
Capim Branco (MG),0,0
Capinópolis (MG),0,0
Capitão Andrade (MG),0,0
Capitão Enéas (MG),1,1
Capitólio (MG),0,0
Caputira (MG),0,0
Caraí (MG),1,1
Caranaíba (MG),0,0
Carandaí (MG),0,0
Carangola (MG),1,1
Caratinga (MG),0,0
Carbonita (MG),1,1
Careaçu (MG),0,0
Carlos Chagas (MG),1,1
Carmésia (MG),1,1
Carmo da Cachoeira (MG),0,0
Carmo da Mata (MG),0,0
Carmo de Minas (MG),0,0
Carmo do Cajuru (MG),0,0
Carmo do Paranaíba (MG),0,0
Carmo do Rio Claro (MG),1,2
Carmópolis de Minas (MG),1,2
Carneirinho (MG),1,4
Carrancas (MG),0,0
Carvalhópolis (MG),1,1
Carvalhos (MG),0,0
Casa Grande (MG),0,0
Cascalho Rico (MG),0,0
Cássia (MG),0,0
Conceição da Barra de Minas (MG),1,1
Cataguases (MG),0,0
Catas Altas (MG),1,2
Catas Altas da Noruega (MG),0,0
Catuji (MG),0,0
Catuti (MG),1,1
Caxambu (MG),1,1
Cedro do Abaeté (MG),0,0
Central de Minas (MG),0,0
Centralina (MG),1,1
Chácara (MG),0,0
Chalé (MG),0,0
Chapada do Norte (MG),0,0
Chapada Gaúcha (MG),0,0
Chiador (MG),0,0
Cipotânea (MG),0,0
Claraval (MG),1,1
Claro dos Poções (MG),1,3
Cláudio (MG),1,3
Coimbra (MG),0,0
Coluna (MG),0,0
Comendador Gomes (MG),1,1
Comercinho (MG),0,0
Conceição da Aparecida (MG),1,4
Conceição das Pedras (MG),0,0
Conceição das Alagoas (MG),0,0
Conceição de Ipanema (MG),0,0
Conceição do Mato Dentro (MG),1,3
Conceição do Pará (MG),1,2
Conceição do Rio Verde (MG),0,0
Conceição dos Ouros (MG),0,0
Cônego Marinho (MG),0,0
Confins (MG),0,0
Congonhal (MG),0,0
Congonhas (MG),0,0
Congonhas do Norte (MG),0,0
Conquista (MG),1,1
Conselheiro Lafaiete (MG),1,1
Conselheiro Pena (MG),1,2
Consolação (MG),0,0
Contagem (MG),1,1
Coqueiral (MG),1,1
Coração de Jesus (MG),1,1
Cordisburgo (MG),1,2
Cordislândia (MG),0,0
Corinto (MG),1,1
Coroaci (MG),0,0
Coromandel (MG),0,0
Coronel Fabriciano (MG),0,0
Coronel Murta (MG),1,1
Coronel Pacheco (MG),0,0
Coronel Xavier Chaves (MG),0,0
Córrego Danta (MG),1,1
Córrego do Bom Jesus (MG),0,0
Córrego Fundo (MG),1,1
Córrego Novo (MG),0,0
Couto de Magalhães de Minas (MG),0,0
Crisólita (MG),1,1
Cristais (MG),0,0
Cristália (MG),1,1
Cristiano Otoni (MG),0,0
Cristina (MG),0,0
Crucilândia (MG),0,0
Cruzeiro da Fortaleza (MG),1,1
Cruzília (MG),0,0
Cuparaque (MG),0,0
Curral de Dentro (MG),0,0
Curvelo (MG),1,1
Datas (MG),0,0
Delfim Moreira (MG),0,0
Delfinópolis (MG),0,0
Delta (MG),0,0
Descoberto (MG),0,0
Desterro de Entre Rios (MG),0,0
Desterro do Melo (MG),1,1
Diamantina (MG),1,2
Diogo de Vasconcelos (MG),0,0
Dionísio (MG),0,0
Divinésia (MG),0,0
Divino (MG),0,0
Divino das Laranjeiras (MG),0,0
Divinolândia de Minas (MG),0,0
Divinópolis (MG),1,1
Divisa Alegre (MG),0,0
Divisa Nova (MG),0,0
Divisópolis (MG),1,1
Dom Bosco (MG),0,0
Dom Cavati (MG),0,0
Dom Joaquim (MG),0,0
Dom Silvério (MG),0,0
Dom Viçoso (MG),0,0
Dona Euzébia (MG),0,0
Dores de Campos (MG),0,0
Dores de Guanhães (MG),0,0
Dores do Indaiá (MG),1,1
Dores do Turvo (MG),0,0
Doresópolis (MG),0,0
Douradoquara (MG),0,0
Durandé (MG),0,0
Elói Mendes (MG),0,0
Engenheiro Caldas (MG),0,0
Engenheiro Navarro (MG),1,1
Entre Folhas (MG),0,0
Entre Rios de Minas (MG),0,0
Ervália (MG),1,1
Esmeraldas (MG),1,1
Espera Feliz (MG),0,0
Espinosa (MG),0,0
Espírito Santo do Dourado (MG),0,0
Estiva (MG),0,0
Estrela Dalva (MG),0,0
Estrela do Indaiá (MG),0,0
Estrela do Sul (MG),0,0
Eugenópolis (MG),0,0
Ewbank da Câmara (MG),0,0
Extrema (MG),1,3
Fama (MG),0,0
Faria Lemos (MG),0,0
Felício dos Santos (MG),0,0
São Gonçalo do Rio Preto (MG),0,0
Felisburgo (MG),0,0
Felixlândia (MG),0,0
Fernandes Tourinho (MG),1,1
Ferros (MG),0,0
Fervedouro (MG),0,0
Florestal (MG),0,0
Formiga (MG),0,0
Formoso (MG),0,0
Fortaleza de Minas (MG),0,0
Fortuna de Minas (MG),1,1
Francisco Badaró (MG),0,0
Francisco Dumont (MG),1,1
Francisco Sá (MG),1,1
Franciscópolis (MG),0,0
Frei Gaspar (MG),1,1
Frei Inocêncio (MG),0,0
Frei Lagonegro (MG),0,0
Fronteira (MG),0,0
Fronteira dos Vales (MG),1,1
Fruta de Leite (MG),0,0
Frutal (MG),1,1
Funilândia (MG),1,1
Galiléia (MG),0,0
Gameleiras (MG),0,0
Glaucilândia (MG),1,1
Goiabeira (MG),1,1
Goianá (MG),0,0
Gonçalves (MG),1,1
Gonzaga (MG),0,0
Gouveia (MG),1,1
Governador Valadares (MG),0,0
Grão Mogol (MG),1,1
Grupiara (MG),0,0
Guanhães (MG),1,1
Guapé (MG),0,0
Guaraciaba (MG),0,0
Guaraciama (MG),0,0
Guaranésia (MG),0,0
Guarani (MG),0,0
Guarará (MG),0,0
Guarda-Mor (MG),1,1
Guaxupé (MG),0,0
Guidoval (MG),0,0
Guimarânia (MG),0,0
Guiricema (MG),0,0
Gurinhatã (MG),1,1
Heliodora (MG),0,0
Iapu (MG),0,0
Ibertioga (MG),1,1
Ibiá (MG),0,0
Ibiaí (MG),1,1
Ibiracatu (MG),0,0
Ibiraci (MG),0,0
Ibirité (MG),1,1
Ibitiúra de Minas (MG),0,0
Ibituruna (MG),0,0
Icaraí de Minas (MG),1,1
Igarapé (MG),0,0
Igaratinga (MG),1,3
Iguatama (MG),0,0
Ijaci (MG),1,1
Ilicínea (MG),0,0
Imbé de Minas (MG),0,0
Inconfidentes (MG),0,0
Indaiabira (MG),1,1
Indianópolis (MG),0,0
Ingaí (MG),0,0
Inhapim (MG),0,0
Inhaúma (MG),1,1
Inimutaba (MG),0,0
Ipaba (MG),0,0
Ipanema (MG),0,0
Ipatinga (MG),1,4
Ipiaçu (MG),0,0
Ipuiúna (MG),0,0
Iraí de Minas (MG),1,1
Itabira (MG),1,2
Itabirinha (MG),1,1
Itabirito (MG),1,1
Itacambira (MG),0,0
Itacarambi (MG),1,1
Itaguara (MG),1,1
Itaipé (MG),1,1
Itajubá (MG),1,1
Itamarandiba (MG),0,0
Itamarati de Minas (MG),0,0
Itambacuri (MG),0,0
Itambé do Mato Dentro (MG),1,7
Itamogi (MG),0,0
Itamonte (MG),0,0
Itanhandu (MG),0,0
Itanhomi (MG),1,1
Itaobim (MG),1,1
Itapagipe (MG),0,0
Itapecerica (MG),1,1
Itapeva (MG),0,0
Itatiaiuçu (MG),0,0
Itaú de Minas (MG),0,0
Itaúna (MG),1,17
Itaverava (MG),0,0
Itinga (MG),1,1
Itueta (MG),1,1
Ituiutaba (MG),1,1
Itumirim (MG),1,2
Iturama (MG),1,1
Itutinga (MG),1,4
Jaboticatubas (MG),1,2
Jacinto (MG),0,0
Jacuí (MG),0,0
Jacutinga (MG),0,0
Jaguaraçu (MG),1,1
Jaíba (MG),1,1
Jampruca (MG),0,0
Janaúba (MG),1,1
Januária (MG),1,1
Japaraíba (MG),1,1
Japonvar (MG),0,0
Jeceaba (MG),0,0
Jenipapo de Minas (MG),1,1
Jequeri (MG),0,0
Jequitaí (MG),0,0
Jequitibá (MG),1,1
Jequitinhonha (MG),1,1
Jesuânia (MG),0,0
Joaíma (MG),1,1
Joanésia (MG),0,0
João Monlevade (MG),0,0
João Pinheiro (MG),1,2
Joaquim Felício (MG),1,1
Jordânia (MG),0,0
José Gonçalves de Minas (MG),1,1
José Raydan (MG),0,0
Josenópolis (MG),1,1
Nova União (MG),0,0
Juatuba (MG),1,1
Juiz de Fora (MG),1,2
Juramento (MG),1,1
Juruaia (MG),0,0
Juvenília (MG),1,1
Ladainha (MG),1,1
Lagamar (MG),1,1
Lagoa da Prata (MG),1,2
Lagoa dos Patos (MG),1,1
Lagoa Dourada (MG),0,0
Lagoa Formosa (MG),1,4
Lagoa Grande (MG),0,0
Lagoa Santa (MG),1,3
Lajinha (MG),0,0
Lambari (MG),0,0
Lamim (MG),0,0
Laranjal (MG),0,0
Lassance (MG),0,0
Lavras (MG),1,2
Leandro Ferreira (MG),1,2
Leme do Prado (MG),1,2
Leopoldina (MG),0,0
Liberdade (MG),0,0
Lima Duarte (MG),0,0
Limeira do Oeste (MG),1,1
Lontra (MG),1,1
Luisburgo (MG),0,0
Luislândia (MG),0,0
Luminárias (MG),0,0
Luz (MG),1,3
Machacalis (MG),0,0
Machado (MG),1,6
Madre de Deus de Minas (MG),0,0
Malacacheta (MG),1,1
Mamonas (MG),0,0
Manga (MG),1,1
Manhuaçu (MG),0,0
Manhumirim (MG),0,0
Mantena (MG),1,3
Maravilhas (MG),1,1
Mar de Espanha (MG),0,0
Maria da Fé (MG),0,0
Mariana (MG),0,0
Marilac (MG),0,0
Mário Campos (MG),0,0
Maripá de Minas (MG),0,0
Marliéria (MG),0,0
Marmelópolis (MG),0,0
Martinho Campos (MG),0,0
Martins Soares (MG),0,0
Mata Verde (MG),1,1
Materlândia (MG),0,0
Mateus Leme (MG),1,1
Matias Barbosa (MG),0,0
Matias Cardoso (MG),0,0
Matipó (MG),0,0
Mato Verde (MG),0,0
Matozinhos (MG),1,1
Matutina (MG),0,0
Medeiros (MG),1,1
Medina (MG),1,1
Mendes Pimentel (MG),0,0
Mercês (MG),0,0
Mesquita (MG),0,0
Minas Novas (MG),1,4
Minduri (MG),0,0
Mirabela (MG),1,1
Miradouro (MG),0,0
Miraí (MG),0,0
Miravânia (MG),0,0
Moeda (MG),0,0
Moema (MG),1,1
Monjolos (MG),0,0
Monsenhor Paulo (MG),0,0
Montalvânia (MG),1,1
Monte Alegre de Minas (MG),0,0
Monte Azul (MG),1,1
Monte Belo (MG),0,0
Monte Carmelo (MG),1,1
Monte Formoso (MG),0,0
Monte Santo de Minas (MG),0,0
Montes Claros (MG),1,2
Monte Sião (MG),1,1
Montezuma (MG),1,1
Morada Nova de Minas (MG),1,1
Morro da Garça (MG),1,1
Morro do Pilar (MG),1,1
Munhoz (MG),0,0
Muriaé (MG),1,5
Mutum (MG),0,0
Muzambinho (MG),0,0
Nacip Raydan (MG),0,0
Nanuque (MG),1,1
Naque (MG),0,0
Natalândia (MG),1,1
Natércia (MG),0,0
Nazareno (MG),0,0
Nepomuceno (MG),0,0
Ninheira (MG),1,1
Nova Belém (MG),1,1
Nova Era (MG),0,0
Nova Lima (MG),1,3
Nova Módica (MG),0,0
Nova Ponte (MG),1,3
Nova Porteirinha (MG),0,0
Nova Resende (MG),0,0
Nova Serrana (MG),1,1
Novo Cruzeiro (MG),1,1
Novo Oriente de Minas (MG),1,1
Novorizonte (MG),0,0
Olaria (MG),0,0
Olhos-d'Água (MG),0,0
Olímpio Noronha (MG),0,0
Oliveira (MG),1,2
Oliveira Fortes (MG),0,0
Onça de Pitangui (MG),0,0
Oratórios (MG),0,0
Orizânia (MG),0,0
Ouro Branco (MG),1,1
Ouro Fino (MG),0,0
Ouro Preto (MG),1,1
Ouro Verde de Minas (MG),0,0
Padre Carvalho (MG),1,1
Padre Paraíso (MG),0,0
Paineiras (MG),0,0
Pains (MG),0,0
Pai Pedro (MG),0,0
Paiva (MG),0,0
Palma (MG),0,0
Palmópolis (MG),0,0
Papagaios (MG),1,1
Paracatu (MG),1,1
Pará de Minas (MG),1,7
Paraguaçu (MG),1,1
Paraisópolis (MG),0,0
Paraopeba (MG),0,0
Passabém (MG),0,0
Passa Quatro (MG),0,0
Passa Tempo (MG),0,0
Passa Vinte (MG),0,0
Passos (MG),1,1
Patis (MG),0,0
Patos de Minas (MG),1,2
Patrocínio (MG),1,5
Patrocínio do Muriaé (MG),0,0
Paula Cândido (MG),0,0
Paulistas (MG),0,0
Pavão (MG),0,0
Peçanha (MG),0,0
Pedra Azul (MG),1,1
Pedra Bonita (MG),1,1
Pedra do Anta (MG),0,0
Pedra do Indaiá (MG),1,1
Pedra Dourada (MG),1,1
Pedralva (MG),1,1
Pedras de Maria da Cruz (MG),1,1
Pedrinópolis (MG),1,1
Pedro Leopoldo (MG),1,1
Pedro Teixeira (MG),0,0
Pequeri (MG),0,0
Pequi (MG),1,1
Perdigão (MG),0,0
Perdizes (MG),1,1
Perdões (MG),0,0
Periquito (MG),0,0
Pescador (MG),0,0
Piau (MG),0,0
Piedade de Caratinga (MG),1,1
